latitude,longitude
-24.1345,115.0405
-23.5878,115.5445
-23.0391,116.0438
-22.5126,116.5172
-21.9844,116.9868
-21.4304,117.4736
-20.8748,117.9564
-20.3174,118.4352
-19.7829,118.8897
-19.1981,119.3817
-18.6118,119.8699
-18.0729,120.3142
-17.5327,120.7555
-16.9914,121.1938
-16.4489,121.6294
-15.8805,122.0820
-15.3358,122.5123
-14.8148,122.9207
-14.2184,123.3847
-13.6459,123.8269
-13.0973,124.2476
-12.5228,124.6853
-11.9724,125.1020
-11.3963,125.5355
-10.8695,125.9297
-10.2919,126.3596
-9.7134,126.7879
-9.1343,127.2145
-8.5546,127.6395
-7.9744,128.0631
-7.4189,128.4671
-6.7870,128.9248
-6.2051,129.3447
-5.6482,129.7453
-5.0149,130.1996
-4.4320,130.6167
-3.8487,131.0331
-3.2397,131.4669
-2.7067,131.8460
-2.1225,132.2609
-1.5639,132.6573
-1.0043,133.0541
-0.3690,133.5043
0.2154,133.9183
0.7998,134.3324
1.4096,134.7647
1.9939,135.1792
2.6035,135.6121
3.1367,135.9913
3.7205,136.4070
4.3294,136.8415
4.9380,137.2768
5.5210,137.6948
6.0782,138.0955
6.6605,138.5154
7.2170,138.9181
7.7730,139.3219
8.3791,139.7638
8.9341,140.1702
9.5139,140.5966
10.0677,141.0060
10.6462,141.4357
11.1987,141.8483
11.7758,142.2817
12.3019,142.6791
12.8523,143.0974
13.4270,143.5370
13.9756,143.9595
14.5235,144.3844
15.0953,144.8311
15.6908,145.3001
16.2355,145.7326
16.7791,146.1678
17.3463,146.6257
17.8630,147.0465
18.4277,147.5106
18.9910,147.9780
19.5285,148.4284
20.0890,148.9029
20.5994,149.3394
21.1811,149.8422
21.6886,150.2857
22.2426,150.7753
22.7950,151.2693
23.3217,151.7460
23.8704,152.2488
24.3934,152.7341
24.9382,153.2462
25.4573,153.7407
26.0214,154.2855
